Name,Platform,Year_of_Release,Publisher
Mighty No. 9,XOne,2016,Deep Silver
uDraw Studio: Instant Artist,X360,2011,THQ
The Testament of Sherlock Holmes,X360,2012,Focus Home Interactive
Marvel Avengers: Battle for Earth,X360,2012,Ubisoft
Darksiders,PS3,2010,THQ
James Bond 007: Blood Stone,PC,2010,Activision
Dark Void,PC,2010,Capcom
Quantum Break,PC,2016,Microsoft Game Studios
Sengoku,PC,2011,Paradox Interactive
Azure Striker Gunvolt,3DS,2016,Yacht Club Games
Don Bradman Cricket 14,PS3,2014,Tru Blu Entertainment
Madden NFL 13,PS3,2012,Electronic Arts
htoL#NiQ: The Firefly Diary,PSV,2014,Nippon Ichi Software
Worms: WMD,XOne,2016,Sold Out
Doki-Doki Universe,PSV,2013,Sony Computer Entertainment
Sherlock Holmes: The Devil's Daughter,PC,2016,Bigben Interactive
Prototype: Biohazard Bundle,XOne,2016,Activision
Dokuro,PSV,2012,GungHo
Legend of Kay Anniversary,WiiU,2015,Nordic Games
Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Nintendo
Art Academy: Home Studio,WiiU,2015,Nintendo
The Eye of Judgment: Legends,PSP,2010,Sony Computer Entertainment
Dragon Ball Z for Kinect,X360,2012,Namco Bandai Games
Fast Racing Neo ,WiiU,2016,Nintendo
Breach,PC,2011,Destineer
Mario Kart 8,WiiU,2014,Nintendo
Just Dance 4,Wii,2012,Ubisoft
Dragon Ball: Raging Blast 2,X360,2010,Namco Bandai Games
NHL 13,PS3,2012,Electronic Arts
Dead or Alive 5,PS3,2012,Tecmo Koei
Evolve,XOne,2015,Take-Two Interactive
Rock Band 3,Wii,2010,MTV Games
White Knight Chronicles II,PS3,2010,Sony Computer Entertainment
The Walking Dead: Survival Instinct,X360,2013,Activision
